Squats,5,5,,,Legs
Front Squats,3,8,,,Legs
Roamnian Deadlifts,3,8,,,Legs
Leg Curls,3,10,,,Legs
Bench Press,5,5,,,Chest
Incline Bench Press,3,8,,,Chest
Dips,3,10,,,Chest
Skull Crushers,3,8,,Superset,Chest
Close Grip Bench,3,8,,Superset,Chest
Tricep Extensions,3,30,,Dropset,Chest
Deadlifts,5,5,,,Back
Pull Ups,3,10,,,Back
Barbell Rows,3,8,,,Back
Hammer Curls,3,10,,,Back
Cable Curls,3,30,,Dropset,Back
Military Press,5,5,,,Shoulders
Dumbell Shoulder Press,3,8,,,Shoulders
Dumbell Lateral Raise,3,10,,,Shoulders
Cable Lateral Raise,3,10,,,Shoulders
Face Pulls,3,12,,,Shoulders
